lag,feature_set,r2,rmse,mae,n_train,n_test
14,D: current + prev features + prev fwns,0.966289758682251,0.011560811866177701,0.007834943011403084,1636459,1812251
15,A: current only,0.9498440027236938,0.013541420391694418,0.008319550193846226,2709294,3045169
15,B: current + prev features,0.9476219415664673,0.013838132832264332,0.008643606677651405,2709294,3045169
15,C: current + prev fwns,0.9589830636978149,0.012245727241543717,0.007818041369318962,2709294,3045169
15,D: current + prev features + prev fwns,0.9653494954109192,0.011255315189993093,0.007355747278779745,2709294,3045169
16,A: current only,0.9526441097259521,0.01237959366209686,0.00711828051134944,7258898,8302732
16,B: current + prev features,0.9513945579528809,0.012541862560265597,0.007353400811553001,7258898,8302732
16,C: current + prev fwns,0.9643148183822632,0.010746416226807883,0.00648015970364213,7258898,8302732
16,D: current + prev features + prev fwns,0.9714676141738892,0.00960923225550736,0.0059656258672475815,7258898,8302732
17,A: current only,0.9514073133468628,0.01284360020815847,0.007606371305882931,5019303,5364687
17,B: current + prev features,0.9497244358062744,0.013064115703783193,0.007868366315960884,5019303,5364687
17,C: current + prev fwns,0.9595547914505005,0.011717496372760434,0.00720378989353776,5019303,5364687
17,D: current + prev features + prev fwns,0.9655115604400635,0.01082027229476338,0.0068099601194262505,5019303,5364687
18,A: current only,0.9495763778686523,0.013403415332172493,0.00814168993383646,3040909,3228604
18,B: current + prev features,0.9471206068992615,0.013725924304508388,0.0084688700735569,3040909,3228604
18,C: current + prev fwns,0.9591801166534424,0.012059638557708977,0.007680146489292383,3040909,3228604
18,D: current + prev features + prev fwns,0.9654864072799683,0.011089025099052836,0.007193190976977348,3040909,3228604
19,A: current only,0.9551538825035095,0.013427564229754217,0.008614150807261467,1597086,1738467
19,B: current + prev features,0.951421320438385,0.0139751917214885,0.009039409458637238,1597086,1738467
19,C: current + prev fwns,0.9599071145057678,0.012696051805317307,0.008387992158532143,1597086,1738467
19,D: current + prev features + prev fwns,0.9645062685012817,0.011945676826334463,0.008009177632629871,1597086,1738467
20,A: current only,0.9538277387619019,0.01334762736775927,0.008469500578939915,1908286,2136205
20,B: current + prev features,0.9496773481369019,0.013934620750946035,0.008923198096454144,1908286,2136205
20,C: current + prev fwns,0.9587273001670837,0.012619584750074055,0.008237093687057495,1908286,2136205
20,D: current + prev features + prev fwns,0.9639727473258972,0.011790417779343986,0.007819494232535362,1908286,2136205
21,A: current only,0.9499992728233337,0.013050033069696924,0.0076456074602901936,4226575,4857936
21,B: current + prev features,0.9480410814285278,0.013303126521891175,0.007917651906609535,4226575,4857936
21,C: current + prev fwns,0.959513783454895,0.011742952433124563,0.0071855345740914345,4226575,4857936
21,D: current + prev features + prev fwns,0.9654979705810547,0.010840412892293946,0.006782165728509426,4226575,4857936
